Order ID,Order Date,Order Status,Customer ID,Customer Type,Subtotal,Shipping Cost,Tax Amount,Total Amount,Number of Items,Product Category,State,Traffic Source,Device Type,Shipping Method,Days to Ship
ORD_000551,2024-07-02 22:30:30.685384,completed,CUST_0158,returning_customer,204.13,0.0,17.86,221.99,4,Bottoms,California,google,desktop,standard,2
ORD_000966,2024-07-02 23:59:52.685384,completed,CUST_0184,returning_customer,148.6,0.0,6.69,155.29,3,Bottoms,Oklahoma,facebook,mobile,standard,2
ORD_000078,2024-07-03 07:54:05.685384,completed,CUST_0035,returning_customer,156.05,0.0,9.75,165.8,4,Bottoms,Texas,direct,desktop,standard,4
ORD_000667,2024-07-04 08:34:02.685384,completed,CUST_0013,returning_customer,167.67,0.0,13.41,181.08,5,Tops,New York,facebook,mobile,standard,5
ORD_000451,2024-07-04 09:36:54.685384,completed,CUST_0053,returning_customer,45.64,12.99,3.99,62.62,2,Tops,California,facebook,desktop,express,1
ORD_000751,2024-07-04 19:07:00.685384,completed,CUST_0203,returning_customer,139.36,0.0,12.19,151.55,3,Bottoms,California,google,mobile,standard,3
ORD_000826,2024-07-06 03:22:12.685384,completed,CUST_0149,returning_customer,88.87,0.0,7.78,96.65,4,Tops,California,direct,desktop,standard,2
ORD_000642,2024-07-06 10:17:25.685384,completed,CUST_0170,returning_customer,52.84,5.99,3.17,62.0,2,Accessories,Florida,google,tablet,standard,3
ORD_000926,2024-07-07 01:26:09.685384,completed,CUST_0177,returning_customer,72.52,5.99,4.53,83.04,1,Shoes,Illinois,direct,mobile,standard,2
ORD_000911,2024-07-07 09:55:20.685384,completed,CUST_0219,returning_customer,25.3,12.99,2.21,40.5,1,Accessories,California,facebook,desktop,express,2
ORD_000676,2024-07-07 15:10:03.685384,completed,CUST_0007,returning_customer,210.02,0.0,12.08,222.1,3,Shoes,Ohio,direct,desktop,express,1
ORD_000161,2024-07-07 23:35:34.685384,completed,CUST_0012,returning_customer,21.01,5.99,1.39,28.39,1,Tops,New Jersey,facebook,desktop,standard,3
ORD_000498,2024-07-08 00:42:06.685384,completed,CUST_0160,new_customer,114.95,0.0,7.18,122.13,3,Tops,Texas,direct,desktop,standard,4
ORD_000193,2024-07-08 01:52:08.685384,completed,CUST_0078,new_customer,119.72,0.0,7.48,127.2,3,Tops,Texas,instagram,tablet,standard,2
ORD_000621,2024-07-08 03:20:45.685384,completed,CUST_0136,returning_customer,37.95,5.99,0.0,43.94,1,Bottoms,Oregon,direct,mobile,standard,3
ORD_000765,2024-07-08 15:21:50.685384,completed,CUST_0018,returning_customer,96.29,0.0,5.54,101.83,2,Tops,Ohio,email,desktop,standard,5
ORD_000208,2024-07-08 19:13:41.685384,cancelled,CUST_0082,new_customer,15.0,5.99,1.31,22.3,1,Tops,California,direct,mobile,standard,2
ORD_000405,2024-07-09 04:02:12.685384,completed,CUST_0071,returning_customer,52.91,24.99,3.31,81.21,1,Bottoms,Massachusetts,facebook,mobile,overnight,1
ORD_000740,2024-07-09 21:41:20.685384,completed,CUST_0187,returning_customer,45.97,12.99,2.76,61.72,1,Bottoms,Florida,email,desktop,express,1
ORD_000836,2024-07-09 22:37:10.685384,completed,CUST_0094,returning_customer,76.81,0.0,6.14,82.95,2,Bottoms,New York,facebook,mobile,standard,2
ORD_000106,2024-07-10 04:48:11.685384,completed,CUST_0004,returning_customer,103.21,0.0,6.19,109.4,2,Tops,Maryland,facebook,mobile,standard,4
ORD_000237,2024-07-10 18:32:05.685384,completed,CUST_0022,returning_customer,295.86,0.0,17.75,313.61,6,Bottoms,Florida,direct,mobile,standard,2
ORD_000448,2024-07-11 10:38:46.685384,completed,CUST_0028,returning_customer,172.19,0.0,10.93,183.12,2,Shoes,Connecticut,direct,mobile,standard,3
ORD_000873,2024-07-11 12:09:56.685384,completed,CUST_0190,returning_customer,173.0,0.0,8.22,181.22,4,Bottoms,North Carolina,google,mobile,standard,3
ORD_000521,2024-07-11 22:59:51.685384,completed,CUST_0171,new_customer,310.62,0.0,18.64,329.26,4,Shoes,Pennsylvania,direct,mobile,standard,4
ORD_000195,2024-07-12 09:23:03.685384,completed,CUST_0072,returning_customer,30.0,12.99,1.2,44.19,2,Accessories,Georgia,facebook,tablet,express,2
ORD_000112,2024-07-12 15:28:40.685384,completed,CUST_0037,returning_customer,65.58,5.99,5.74,77.31,2,Accessories,California,facebook,mobile,standard,3
ORD_000300,2024-07-12 17:40:03.685384,completed,CUST_0064,returning_customer,56.31,12.99,2.53,71.83,1,Tops,Louisiana,direct,desktop,express,1
ORD_000543,2024-07-12 19:03:44.685384,completed,CUST_0057,returning_customer,317.11,0.0,19.82,336.93,4,Shoes,Texas,google,mobile,express,1
ORD_000803,2024-07-13 18:26:29.685384,completed,CUST_0236,new_customer,152.82,0.0,9.17,161.99,3,Shoes,South Carolina,facebook,desktop,standard,2
ORD_000648,2024-07-13 20:43:28.685384,cancelled,CUST_0187,returning_customer,38.35,12.99,2.3,53.64,1,Bottoms,Florida,email,desktop,express,1
ORD_000708,2024-07-14 15:23:35.685384,completed,CUST_0137,returning_customer,70.51,12.99,4.23,87.73,1,Shoes,Michigan,direct,desktop,express,1
ORD_000818,2024-07-14 23:56:57.685384,completed,CUST_0216,returning_customer,85.33,0.0,4.91,90.24,2,Bottoms,Ohio,facebook,desktop,standard,2
ORD_000567,2024-07-15 15:34:03.685384,completed,CUST_0082,returning_customer,42.09,12.99,3.68,58.76,2,Tops,California,direct,mobile,express,2
ORD_000853,2024-07-16 03:13:09.685384,completed,CUST_0153,returning_customer,84.2,0.0,3.79,87.99,1,Shoes,Louisiana,google,mobile,standard,3
ORD_000724,2024-07-16 21:47:57.685384,completed,CUST_0140,returning_customer,233.81,0.0,16.37,250.18,5,Bottoms,Indiana,instagram,mobile,express,2
ORD_000914,2024-07-16 22:24:10.685384,completed,CUST_0254,new_customer,35.15,24.99,2.2,62.34,1,Tops,Texas,direct,desktop,overnight,1
ORD_000246,2024-07-17 06:39:45.685384,completed,CUST_0093,new_customer,478.78,0.0,29.92,508.7,6,Shoes,Texas,facebook,desktop,standard,2
ORD_000703,2024-07-17 09:15:49.685384,completed,CUST_0217,new_customer,174.09,0.0,10.88,184.97,4,Tops,Massachusetts,facebook,mobile,standard,5
ORD_000075,2024-07-17 12:43:14.685384,completed,CUST_0034,new_customer,148.52,0.0,8.91,157.43,4,Accessories,Florida,email,mobile,express,1
ORD_000846,2024-07-18 11:03:09.685384,completed,CUST_0214,returning_customer,59.84,5.99,4.79,70.62,2,Tops,New York,direct,mobile,standard,5
ORD_000065,2024-07-18 22:00:39.685384,completed,CUST_0029,new_customer,69.7,5.99,4.18,79.87,2,Tops,Pennsylvania,google,desktop,standard,2
ORD_000235,2024-07-19 02:25:24.685384,completed,CUST_0059,returning_customer,33.25,5.99,2.91,42.15,1,Accessories,California,email,desktop,standard,2
ORD_000899,2024-07-19 03:28:57.685384,completed,CUST_0063,returning_customer,76.3,0.0,5.25,81.55,2,Bottoms,Minnesota,facebook,mobile,overnight,1
ORD_000729,2024-07-19 07:08:28.685384,completed,CUST_0133,returning_customer,21.82,12.99,1.75,36.56,1,Accessories,New York,facebook,mobile,express,1
ORD_000011,2024-07-20 11:15:07.685384,completed,CUST_0003,returning_customer,125.04,0.0,10.0,135.04,3,Tops,New York,google,mobile,standard,4
ORD_000730,2024-07-20 16:57:58.685384,completed,CUST_0222,new_customer,262.11,0.0,22.93,285.04,4,Shoes,California,facebook,tablet,standard,2
ORD_000564,2024-07-21 08:54:16.685384,completed,CUST_0108,returning_customer,77.54,0.0,3.49,81.03,3,Accessories,Louisiana,google,desktop,standard,2
ORD_000537,2024-07-22 08:06:55.685384,completed,CUST_0173,new_customer,128.25,0.0,0.0,128.25,3,Accessories,Oregon,direct,mobile,standard,2
ORD_000688,2024-07-22 10:08:41.685384,completed,CUST_0161,returning_customer,92.72,0.0,6.49,99.21,4,Accessories,Tennessee,facebook,desktop,standard,2
