month,department,line_type,product_line,category,subcategory,counterparty,invoice_id,amount,budget,variance,is_over_budget,spend_to_budget_ratio,headcount,role,notes,days_past_due,aging_bucket,state,dept_total_opex,company_ebitda
2025-04-01,Customer Success,expense,N/A,other,Other,Staples,E-202504-OT-067,8828.74,8637.09,191.65,True,1.022,65,N/A,Customer Success other line,,,Massachusetts,864916.84,-1954751.8262000002
2025-04-01,Customer Success,expense,N/A,other,Other,LegalCo,E-202504-OT-046,4284.69,4035.67,249.02,True,1.062,65,N/A,Customer Success other line,18.0,0-30,California,864916.84,-1954751.8262000002
2025-04-01,Customer Success,expense,N/A,other,Other,LegalCo,E-202504-OT-070,4263.06,3984.03,279.03,True,1.07,65,N/A,Customer Success other line,,,Florida,864916.84,-1954751.8262000002
2025-04-01,Customer Success,expense,N/A,other,Other,WeWork,E-202504-OT-014,3835.18,3492.81,342.37,True,1.098,65,N/A,Customer Success other line,,,Indiana,864916.84,-1954751.8262000002
2025-04-01,Customer Success,expense,N/A,other,Other,FedEx,E-202504-OT-018,3512.85,3319.57,193.28,True,1.058,65,N/A,Customer Success other line,28.0,0-30,Minnesota,864916.84,-1954751.8262000002
2025-04-01,Customer Success,expense,N/A,other,Other,FedEx,E-202504-OT-030,3278.51,3020.94,257.57,True,1.085,65,N/A,Customer Success other line,,,Wyoming,864916.84,-1954751.8262000002
2025-04-01,Customer Success,expense,N/A,other,Other,LegalCo,E-202504-OT-004,2973.4,2806.42,166.98,True,1.059,65,N/A,Customer Success other line,,,California,864916.84,-1954751.8262000002
2025-04-01,Customer Success,expense,N/A,other,Other,LegalCo,E-202504-OT-016,2923.8,2809.58,114.22,True,1.041,65,N/A,Customer Success other line,10.0,0-30,Alabama,864916.84,-1954751.8262000002
2025-04-01,Customer Success,expense,N/A,other,Other,UPS,E-202504-OT-015,2799.14,2771.43,27.71,True,1.01,65,N/A,Customer Success other line,,,Washington,864916.84,-1954751.8262000002
2025-04-01,Customer Success,expense,N/A,other,Other,UPS,E-202504-OT-045,2770.45,2574.08,196.37,True,1.076,65,N/A,Customer Success other line,,,Virginia,864916.84,-1954751.8262000002
2025-04-01,Customer Success,expense,N/A,other,Other,UPS,E-202504-OT-093,2764.59,2497.51,267.08,True,1.107,65,N/A,Customer Success other line,,,North Carolina,864916.84,-1954751.8262000002
2025-04-01,Customer Success,expense,N/A,other,Other,UPS,E-202504-OT-087,2632.52,2331.79,300.73,True,1.129,65,N/A,Customer Success other line,,,Michigan,864916.84,-1954751.8262000002
2025-04-01,Customer Success,expense,N/A,other,Other,WeWork,E-202504-OT-080,2617.55,2409.2,208.35,True,1.086,65,N/A,Customer Success other line,35.0,31-60,California,864916.84,-1954751.8262000002
