month,department,line_type,product_line,category,subcategory,counterparty,invoice_id,amount,budget,variance,is_over_budget,spend_to_budget_ratio,headcount,role,notes,days_past_due,aging_bucket,state,dept_total_opex,company_ebitda
2025-06-01,Engineering,expense,N/A,other,Other,Staples,E-202506-OT-067,5906.51,5434.16,472.35,True,1.087,59,N/A,Engineering other line,,,Idaho,1216931.44,-1660750.1428472167
2025-06-01,Engineering,expense,N/A,other,Other,LegalCo,E-202506-OT-046,2866.5,2684.04,182.46,True,1.068,59,N/A,Engineering other line,9.0,0-30,New York,1216931.44,-1660750.1428472167
2025-06-01,Engineering,expense,N/A,other,Other,LegalCo,E-202506-OT-070,2852.03,2691.11,160.92,True,1.06,59,N/A,Engineering other line,21.0,0-30,Michigan,1216931.44,-1660750.1428472167
2025-06-01,Engineering,expense,N/A,other,Other,WeWork,E-202506-OT-014,2565.77,2368.0,197.77,True,1.084,59,N/A,Engineering other line,19.0,0-30,California,1216931.44,-1660750.1428472167
2025-06-01,Engineering,expense,N/A,other,Other,FedEx,E-202506-OT-018,2350.13,2269.03,81.1,True,1.036,59,N/A,Engineering other line,,,New Jersey,1216931.44,-1660750.1428472167
2025-06-01,Engineering,expense,N/A,other,Other,FedEx,E-202506-OT-030,2193.36,2049.42,143.94,True,1.07,59,N/A,Engineering other line,49.0,31-60,Michigan,1216931.44,-1660750.1428472167
2025-06-01,Engineering,expense,N/A,other,Other,LegalCo,E-202506-OT-004,1989.23,1786.67,202.56,True,1.113,59,N/A,Engineering other line,,,New York,1216931.44,-1660750.1428472167
2025-06-01,Engineering,expense,N/A,other,Other,LegalCo,E-202506-OT-016,1956.05,1928.99,27.06,True,1.014,59,N/A,Engineering other line,,,New Mexico,1216931.44,-1660750.1428472167
2025-06-01,Engineering,expense,N/A,other,Other,UPS,E-202506-OT-015,1872.66,1787.28,85.38,True,1.048,59,N/A,Engineering other line,,,Arizona,1216931.44,-1660750.1428472167
2025-06-01,Engineering,expense,N/A,other,Other,UPS,E-202506-OT-045,1853.46,1763.34,90.12,True,1.051,59,N/A,Engineering other line,,,New York,1216931.44,-1660750.1428472167
2025-06-01,Engineering,expense,N/A,other,Other,UPS,E-202506-OT-093,1849.54,1788.79,60.75,True,1.034,59,N/A,Engineering other line,,,Virginia,1216931.44,-1660750.1428472167
2025-06-01,Engineering,expense,N/A,other,Other,UPS,E-202506-OT-087,1761.18,1662.8,98.38,True,1.059,59,N/A,Engineering other line,20.0,0-30,Florida,1216931.44,-1660750.1428472167
2025-06-01,Engineering,expense,N/A,other,Other,WeWork,E-202506-OT-080,1751.17,1693.98,57.19,True,1.034,59,N/A,Engineering other line,47.0,31-60,New Jersey,1216931.44,-1660750.1428472167
2025-06-01,Engineering,expense,N/A,other,Other,UPS,E-202506-OT-075,1705.6,1593.01,112.59,True,1.071,59,N/A,Engineering other line,,,North Carolina,1216931.44,-1660750.1428472167
2025-06-01,Engineering,expense,N/A,other,Other,LegalCo,E-202506-OT-058,1630.23,1614.09,16.14,True,1.01,59,N/A,Engineering other line,5.0,0-30,New York,1216931.44,-1660750.1428472167
2025-06-01,Engineering,expense,N/A,other,Other,WeWork,E-202506-OT-002,1579.66,1466.96,112.7,True,1.077,59,N/A,Engineering other line,11.0,0-30,Colorado,1216931.44,-1660750.1428472167
2025-06-01,Engineering,expense,N/A,other,Other,OfficeDepot,E-202506-OT-071,1563.54,1499.91,63.63,True,1.042,59,N/A,Engineering other line,,,New Jersey,1216931.44,-1660750.1428472167
2025-06-01,Engineering,expense,N/A,other,Other,FedEx,E-202506-OT-090,1495.17,1480.37,14.8,True,1.01,59,N/A,Engineering other line,,,California,1216931.44,-1660750.1428472167
2025-06-01,Engineering,expense,N/A,other,Other,LegalCo,E-202506-OT-028,1440.74,1301.84,138.9,True,1.107,59,N/A,Engineering other line,11.0,0-30,Tennessee,1216931.44,-1660750.1428472167
2025-06-01,Engineering,expense,N/A,other,Other,FedEx,E-202506-OT-054,1380.19,1346.0,34.19,True,1.025,59,N/A,Engineering other line,31.0,31-60,California,1216931.44,-1660750.1428472167
2025-06-01,Engineering,expense,N/A,other,Other,FedEx,E-202506-OT-072,1347.18,1218.87,128.31,True,1.105,59,N/A,Engineering other line,,,Utah,1216931.44,-1660750.1428472167
