month,department,line_type,product_line,category,subcategory,counterparty,invoice_id,amount,budget,variance,is_over_budget,spend_to_budget_ratio,headcount,role,notes,days_past_due,aging_bucket,state,dept_total_opex,company_ebitda
2025-06-01,Finance,expense,N/A,other,Other,OfficeDepot,E-202506-OT-029,519.89,490.58,29.31,True,1.06,4,N/A,Finance other line,19.0,0-30,New York,69300.21,-1660750.1428472167
2025-06-01,Finance,expense,N/A,other,Other,WeWork,E-202506-OT-020,508.5,480.74,27.76,True,1.058,4,N/A,Finance other line,,,New Jersey,69300.21,-1660750.1428472167
2025-06-01,Finance,expense,N/A,other,Other,FedEx,E-202506-OT-006,497.3,469.2,28.1,True,1.06,4,N/A,Finance other line,,,Maryland,69300.21,-1660750.1428472167
2025-06-01,Finance,expense,N/A,other,Other,UPS,E-202506-OT-039,473.7,444.16,29.54,True,1.066,4,N/A,Finance other line,,,California,69300.21,-1660750.1428472167
2025-06-01,Finance,expense,N/A,other,Other,FedEx,E-202506-OT-036,473.4,445.28,28.12,True,1.063,4,N/A,Finance other line,34.0,31-60,Texas,69300.21,-1660750.1428472167
2025-06-01,Finance,expense,N/A,other,Other,Staples,E-202506-OT-055,388.82,372.77,16.05,True,1.043,4,N/A,Finance other line,,,Michigan,69300.21,-1660750.1428472167
2025-06-01,Finance,expense,N/A,other,Other,Staples,E-202506-OT-085,377.14,346.91,30.23,True,1.087,4,N/A,Finance other line,16.0,0-30,Massachusetts,69300.21,-1660750.1428472167
2025-06-01,Finance,expense,N/A,other,Other,LegalCo,E-202506-OT-022,358.37,331.88,26.49,True,1.08,4,N/A,Finance other line,,,Ohio,69300.21,-1660750.1428472167
2025-06-01,Finance,expense,N/A,other,Other,OfficeDepot,E-202506-OT-071,338.76,335.41,3.35,True,1.01,4,N/A,Finance other line,,,New York,69300.21,-1660750.1428472167
2025-06-01,Finance,expense,N/A,other,Other,WeWork,E-202506-OT-038,333.99,319.76,14.23,True,1.044,4,N/A,Finance other line,,,Utah,69300.21,-1660750.1428472167
2025-06-01,Finance,expense,N/A,other,Other,LegalCo,E-202506-OT-046,333.11,313.4,19.71,True,1.063,4,N/A,Finance other line,,,California,69300.21,-1660750.1428472167
2025-06-01,Finance,expense,N/A,other,Other,UPS,E-202506-OT-105,321.72,294.28,27.44,True,1.093,4,N/A,Finance other line,28.0,0-30,New Jersey,69300.21,-1660750.1428472167
