month,department,line_type,product_line,category,subcategory,counterparty,invoice_id,amount,budget,variance,is_over_budget,spend_to_budget_ratio,headcount,role,notes,days_past_due,aging_bucket,state,dept_total_opex,company_ebitda
2025-03-01,G&A,expense,N/A,other,Other,OfficeDepot,E-202503-OT-029,768.47,736.74,31.73,True,1.043,8,N/A,G&A other line,42.0,31-60,New York,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,WeWork,E-202503-OT-020,751.63,744.19,7.44,True,1.01,8,N/A,G&A other line,,,New Jersey,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,FedEx,E-202503-OT-006,735.08,674.12,60.96,True,1.09,8,N/A,G&A other line,,,Maryland,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,UPS,E-202503-OT-039,700.19,661.93,38.26,True,1.058,8,N/A,G&A other line,,,California,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,FedEx,E-202503-OT-036,699.75,661.27,38.48,True,1.058,8,N/A,G&A other line,31.0,31-60,Texas,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,Staples,E-202503-OT-055,574.72,521.53,53.19,True,1.102,8,N/A,G&A other line,19.0,0-30,Michigan,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,Staples,E-202503-OT-085,557.47,517.72,39.75,True,1.077,8,N/A,G&A other line,53.0,31-60,Massachusetts,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,LegalCo,E-202503-OT-022,529.72,501.02,28.7,True,1.057,8,N/A,G&A other line,0.0,0-30,Ohio,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,OfficeDepot,E-202503-OT-071,500.74,495.78,4.96,True,1.01,8,N/A,G&A other line,43.0,31-60,New York,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,WeWork,E-202503-OT-038,493.68,475.5,18.18,True,1.038,8,N/A,G&A other line,,,Utah,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,LegalCo,E-202503-OT-046,492.38,464.37,28.01,True,1.06,8,N/A,G&A other line,,,California,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,UPS,E-202503-OT-105,475.54,437.99,37.55,True,1.086,8,N/A,G&A other line,22.0,0-30,New Jersey,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,OfficeDepot,E-202503-OT-065,468.03,435.9,32.13,True,1.074,8,N/A,G&A other line,18.0,0-30,California,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,OfficeDepot,E-202503-OT-047,412.47,396.59,15.88,True,1.04,8,N/A,G&A other line,13.0,0-30,California,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,WeWork,E-202503-OT-044,385.72,354.77,30.95,True,1.087,8,N/A,G&A other line,,,Wyoming,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,Staples,E-202503-OT-067,381.66,351.95,29.71,True,1.084,8,N/A,G&A other line,13.0,0-30,Oregon,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,OfficeDepot,E-202503-OT-095,377.66,362.27,15.39,True,1.042,8,N/A,G&A other line,22.0,0-30,Michigan,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,Staples,E-202503-OT-019,338.33,318.68,19.65,True,1.062,8,N/A,G&A other line,33.0,31-60,New Mexico,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,UPS,E-202503-OT-027,305.38,290.57,14.81,True,1.051,8,N/A,G&A other line,45.0,31-60,Colorado,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,Staples,E-202503-OT-049,304.31,294.33,9.98,True,1.034,8,N/A,G&A other line,27.0,0-30,California,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,FedEx,E-202503-OT-084,297.23,283.18,14.05,True,1.05,8,N/A,G&A other line,,,Texas,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,FedEx,E-202503-OT-054,292.93,279.36,13.57,True,1.049,8,N/A,G&A other line,,,Oregon,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,WeWork,E-202503-OT-098,292.02,287.95,4.07,True,1.014,8,N/A,G&A other line,19.0,0-30,Minnesota,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,LegalCo,E-202503-OT-040,277.84,266.77,11.07,True,1.042,8,N/A,G&A other line,,,Arizona,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,FedEx,E-202503-OT-012,277.74,262.66,15.08,True,1.057,8,N/A,G&A other line,,,Massachusetts,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,LegalCo,E-202503-OT-016,271.33,257.73,13.6,True,1.053,8,N/A,G&A other line,,,Ohio,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,LegalCo,E-202503-OT-100,264.86,258.16,6.7,True,1.026,8,N/A,G&A other line,,,North Carolina,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,FedEx,E-202503-OT-066,261.66,250.55,11.11,True,1.044,8,N/A,G&A other line,,,Texas,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,UPS,E-202503-OT-069,255.3,238.95,16.35,True,1.068,8,N/A,G&A other line,16.0,0-30,Virginia,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,WeWork,E-202503-OT-014,251.13,237.95,13.18,True,1.055,8,N/A,G&A other line,,,New Jersey,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,UPS,E-202503-OT-081,247.81,245.36,2.45,True,1.01,8,N/A,G&A other line,0.0,0-30,Alabama,135352.99,-2022296.6168
2025-03-01,G&A,expense,N/A,other,Other,LegalCo,E-202503-OT-076,247.72,245.27,2.45,True,1.01,8,N/A,G&A other line,19.0,0-30,Colorado,135352.99,-2022296.6168
