month,department,line_type,product_line,category,subcategory,counterparty,invoice_id,amount,budget,variance,is_over_budget,spend_to_budget_ratio,headcount,role,notes,days_past_due,aging_bucket,state,dept_total_opex,company_ebitda
2025-02-01,HR,expense,N/A,other,Other,OfficeDepot,E-202502-OT-029,17.03,16.52,0.51,True,1.031,0,N/A,HR other line,21.0,0-30,New York,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,WeWork,E-202502-OT-020,16.66,16.5,0.16,True,1.01,0,N/A,HR other line,0.0,0-30,New Jersey,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,FedEx,E-202502-OT-006,16.29,15.36,0.93,True,1.06,0,N/A,HR other line,24.0,0-30,Maryland,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,UPS,E-202502-OT-039,15.52,14.66,0.86,True,1.059,0,N/A,HR other line,30.0,0-30,California,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,FedEx,E-202502-OT-036,15.51,14.51,1.0,True,1.069,0,N/A,HR other line,0.0,0-30,Texas,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,Staples,E-202502-OT-055,12.74,12.09,0.65,True,1.054,0,N/A,HR other line,,,Michigan,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,Staples,E-202502-OT-085,12.36,11.71,0.65,True,1.056,0,N/A,HR other line,,,Massachusetts,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,LegalCo,E-202502-OT-022,11.74,11.4,0.34,True,1.03,0,N/A,HR other line,,,Ohio,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,OfficeDepot,E-202502-OT-071,11.1,10.42,0.68,True,1.065,0,N/A,HR other line,,,New York,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,WeWork,E-202502-OT-038,10.94,9.97,0.97,True,1.097,0,N/A,HR other line,25.0,0-30,Utah,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,LegalCo,E-202502-OT-046,10.91,10.54,0.37,True,1.035,0,N/A,HR other line,40.0,31-60,California,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,UPS,E-202502-OT-105,10.54,9.69,0.85,True,1.087,0,N/A,HR other line,0.0,0-30,New Jersey,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,OfficeDepot,E-202502-OT-065,10.37,9.99,0.38,True,1.038,0,N/A,HR other line,,,California,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,OfficeDepot,E-202502-OT-047,9.14,8.85,0.29,True,1.032,0,N/A,HR other line,15.0,0-30,California,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,WeWork,E-202502-OT-044,8.55,8.47,0.08,True,1.01,0,N/A,HR other line,19.0,0-30,Wyoming,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,Staples,E-202502-OT-067,8.46,7.87,0.59,True,1.075,0,N/A,HR other line,,,Oregon,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,OfficeDepot,E-202502-OT-095,8.37,7.84,0.53,True,1.067,0,N/A,HR other line,33.0,31-60,Michigan,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,Staples,E-202502-OT-019,7.5,7.07,0.43,True,1.061,0,N/A,HR other line,4.0,0-30,New Mexico,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,UPS,E-202502-OT-027,6.77,6.53,0.24,True,1.037,0,N/A,HR other line,26.0,0-30,Colorado,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,Staples,E-202502-OT-049,6.74,6.19,0.55,True,1.089,0,N/A,HR other line,,,California,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,FedEx,E-202502-OT-084,6.59,6.07,0.52,True,1.086,0,N/A,HR other line,,,Texas,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,FedEx,E-202502-OT-054,6.49,6.19,0.3,True,1.049,0,N/A,HR other line,,,Oregon,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,WeWork,E-202502-OT-098,6.47,5.98,0.49,True,1.081,0,N/A,HR other line,,,Minnesota,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,FedEx,E-202502-OT-012,6.16,6.01,0.15,True,1.025,0,N/A,HR other line,,,Massachusetts,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,LegalCo,E-202502-OT-040,6.16,5.93,0.23,True,1.038,0,N/A,HR other line,29.0,0-30,Arizona,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,LegalCo,E-202502-OT-016,6.01,5.65,0.36,True,1.063,0,N/A,HR other line,17.0,0-30,Ohio,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,LegalCo,E-202502-OT-100,5.87,5.67,0.2,True,1.035,0,N/A,HR other line,,,North Carolina,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,FedEx,E-202502-OT-066,5.8,5.68,0.12,True,1.02,0,N/A,HR other line,,,Texas,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,UPS,E-202502-OT-069,5.66,5.43,0.23,True,1.043,0,N/A,HR other line,,,Virginia,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,WeWork,E-202502-OT-014,5.57,5.5,0.07,True,1.014,0,N/A,HR other line,,,New Jersey,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,LegalCo,E-202502-OT-076,5.49,5.19,0.3,True,1.059,0,N/A,HR other line,,,Colorado,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,UPS,E-202502-OT-081,5.49,5.11,0.38,True,1.075,0,N/A,HR other line,,,Alabama,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,Staples,E-202502-OT-031,5.32,5.12,0.2,True,1.04,0,N/A,HR other line,,,California,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,LegalCo,E-202502-OT-106,5.32,5.18,0.14,True,1.027,0,N/A,HR other line,,,Minnesota,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,FedEx,E-202502-OT-102,4.76,4.48,0.28,True,1.062,0,N/A,HR other line,,,Washington,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,OfficeDepot,E-202502-OT-107,4.7,4.6,0.1,True,1.021,0,N/A,HR other line,46.0,31-60,Georgia,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,OfficeDepot,E-202502-OT-101,4.52,4.27,0.25,True,1.059,0,N/A,HR other line,,,California,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,Staples,E-202502-OT-109,4.47,4.36,0.11,True,1.026,0,N/A,HR other line,38.0,31-60,Massachusetts,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,FedEx,E-202502-OT-060,4.32,4.21,0.11,True,1.026,0,N/A,HR other line,,,Minnesota,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,UPS,E-202502-OT-045,4.16,3.89,0.27,True,1.069,0,N/A,HR other line,,,Maryland,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,LegalCo,E-202502-OT-052,4.04,3.82,0.22,True,1.057,0,N/A,HR other line,40.0,31-60,New Jersey,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,OfficeDepot,E-202502-OT-077,4.01,3.97,0.04,True,1.01,0,N/A,HR other line,,,New York,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,UPS,E-202502-OT-003,3.99,3.83,0.16,True,1.04,0,N/A,HR other line,,,North Carolina,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,WeWork,E-202502-OT-062,3.99,3.8,0.19,True,1.049,0,N/A,HR other line,24.0,0-30,New York,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,Staples,E-202502-OT-037,3.96,3.72,0.24,True,1.064,0,N/A,HR other line,,,New Jersey,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,LegalCo,E-202502-OT-082,3.95,3.72,0.23,True,1.061,0,N/A,HR other line,,,Rhode Island,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,UPS,E-202502-OT-063,3.87,3.71,0.16,True,1.044,0,N/A,HR other line,,,California,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,FedEx,E-202502-OT-018,3.84,3.8,0.04,True,1.01,0,N/A,HR other line,10.0,0-30,Minnesota,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,Staples,E-202502-OT-073,3.72,3.6,0.12,True,1.033,0,N/A,HR other line,,,Texas,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,WeWork,E-202502-OT-032,3.41,3.23,0.18,True,1.055,0,N/A,HR other line,,,New York,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,FedEx,E-202502-OT-024,3.35,3.19,0.16,True,1.05,0,N/A,HR other line,,,Massachusetts,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,UPS,E-202502-OT-057,3.35,3.08,0.27,True,1.087,0,N/A,HR other line,,,Washington,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,WeWork,E-202502-OT-104,3.31,2.96,0.35,True,1.117,0,N/A,HR other line,,,New York,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,OfficeDepot,E-202502-OT-011,3.29,2.94,0.35,True,1.119,0,N/A,HR other line,27.0,0-30,Oregon,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,WeWork,E-202502-OT-026,3.15,3.12,0.03,True,1.01,0,N/A,HR other line,10.0,0-30,New Mexico,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,Staples,E-202502-OT-007,3.04,2.8,0.24,True,1.085,0,N/A,HR other line,,,Massachusetts,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,Staples,E-202502-OT-013,3.03,2.94,0.09,True,1.032,0,N/A,HR other line,17.0,0-30,Utah,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,FedEx,E-202502-OT-030,3.01,2.92,0.09,True,1.032,0,N/A,HR other line,,,Wyoming,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,UPS,E-202502-OT-033,2.98,2.94,0.04,True,1.014,0,N/A,HR other line,,,Kansas,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,UPS,E-202502-OT-015,2.7,2.67,0.03,True,1.01,0,N/A,HR other line,,,Maine,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,UPS,E-202502-OT-075,2.69,2.48,0.21,True,1.083,0,N/A,HR other line,,,South Carolina,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,OfficeDepot,E-202502-OT-017,2.65,2.49,0.16,True,1.063,0,N/A,HR other line,50.0,31-60,Kansas,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,UPS,E-202502-OT-087,2.58,2.42,0.16,True,1.066,0,N/A,HR other line,,,Virginia,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,FedEx,E-202502-OT-042,2.43,2.35,0.08,True,1.034,0,N/A,HR other line,33.0,31-60,Texas,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,Staples,E-202502-OT-025,2.38,2.25,0.13,True,1.057,0,N/A,HR other line,29.0,0-30,Rhode Island,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,WeWork,E-202502-OT-080,2.32,2.2,0.12,True,1.053,0,N/A,HR other line,33.0,31-60,Florida,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,FedEx,E-202502-OT-072,2.31,2.24,0.07,True,1.029,0,N/A,HR other line,,,Wyoming,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,LegalCo,E-202502-OT-088,2.31,2.29,0.02,True,1.01,0,N/A,HR other line,0.0,0-30,California,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,LegalCo,E-202502-OT-004,2.24,2.16,0.08,True,1.036,0,N/A,HR other line,,,Oregon,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,OfficeDepot,E-202502-OT-053,2.23,2.17,0.06,True,1.026,0,N/A,HR other line,,,Tennessee,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,WeWork,E-202502-OT-056,2.19,2.1,0.09,True,1.045,0,N/A,HR other line,,,Indiana,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,FedEx,E-202502-OT-108,2.17,2.11,0.06,True,1.03,0,N/A,HR other line,,,Montana,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,UPS,E-202502-OT-021,2.16,2.05,0.11,True,1.054,0,N/A,HR other line,,,New Jersey,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,UPS,E-202502-OT-099,2.16,2.1,0.06,True,1.027,0,N/A,HR other line,43.0,31-60,California,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,LegalCo,E-202502-OT-034,2.1,2.08,0.02,True,1.01,0,N/A,HR other line,,,Nevada,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,UPS,E-202502-OT-009,1.99,1.91,0.08,True,1.044,0,N/A,HR other line,,,Colorado,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,LegalCo,E-202502-OT-028,1.88,1.69,0.19,True,1.11,0,N/A,HR other line,21.0,0-30,Michigan,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,OfficeDepot,E-202502-OT-041,1.74,1.67,0.07,True,1.043,0,N/A,HR other line,,,New Mexico,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,LegalCo,E-202502-OT-070,1.71,1.53,0.18,True,1.116,0,N/A,HR other line,57.0,31-60,New York,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,FedEx,E-202502-OT-090,1.69,1.67,0.02,True,1.01,0,N/A,HR other line,,,Texas,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,WeWork,E-202502-OT-086,1.64,1.57,0.07,True,1.042,0,N/A,HR other line,38.0,31-60,Wisconsin,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,WeWork,E-202502-OT-002,1.57,1.49,0.08,True,1.052,0,N/A,HR other line,18.0,0-30,Wisconsin,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,FedEx,E-202502-OT-096,1.45,1.34,0.11,True,1.08,0,N/A,HR other line,,,New Jersey,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,OfficeDepot,E-202502-OT-089,1.42,1.29,0.13,True,1.098,0,N/A,HR other line,,,California,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,Staples,E-202502-OT-091,1.42,1.39,0.03,True,1.02,0,N/A,HR other line,14.0,0-30,Massachusetts,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,Staples,E-202502-OT-103,1.4,1.37,0.03,True,1.022,0,N/A,HR other line,20.0,0-30,Michigan,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,WeWork,E-202502-OT-074,1.31,1.25,0.06,True,1.046,0,N/A,HR other line,,,Missouri,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,LegalCo,E-202502-OT-094,1.18,1.1,0.08,True,1.077,0,N/A,HR other line,4.0,0-30,Utah,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,WeWork,E-202502-OT-008,1.11,1.07,0.04,True,1.041,0,N/A,HR other line,,,Massachusetts,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,Staples,E-202502-OT-097,0.97,0.95,0.02,True,1.021,0,N/A,HR other line,11.0,0-30,Utah,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,OfficeDepot,E-202502-OT-059,0.91,0.9,0.01,True,1.01,0,N/A,HR other line,59.0,31-60,Pennsylvania,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,OfficeDepot,E-202502-OT-083,0.84,0.79,0.05,True,1.06,0,N/A,HR other line,,,New York,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,WeWork,E-202502-OT-092,0.8,0.76,0.04,True,1.049,0,N/A,HR other line,56.0,31-60,Idaho,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,Staples,E-202502-OT-001,0.59,0.58,0.01,True,1.01,0,N/A,HR other line,48.0,31-60,Maryland,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,WeWork,E-202502-OT-050,0.59,0.58,0.01,True,1.01,0,N/A,HR other line,,,Ohio,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,WeWork,E-202502-OT-068,0.57,0.54,0.03,True,1.065,0,N/A,HR other line,,,California,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,OfficeDepot,E-202502-OT-023,0.41,0.37,0.04,True,1.101,0,N/A,HR other line,,,Florida,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,Staples,E-202502-OT-043,0.38,0.37,0.01,True,1.041,0,N/A,HR other line,,,New Jersey,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,LegalCo,E-202502-OT-064,0.38,0.36,0.02,True,1.06,0,N/A,HR other line,31.0,31-60,California,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,UPS,E-202502-OT-051,0.26,0.25,0.01,True,1.045,0,N/A,HR other line,,,Indiana,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,OfficeDepot,E-202502-OT-005,0.23,0.22,0.01,True,1.036,0,N/A,HR other line,,,Alaska,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,UPS,E-202502-OT-093,0.23,0.21,0.02,True,1.071,0,N/A,HR other line,,,Texas,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,FedEx,E-202502-OT-048,0.15,0.15,0.0,True,1.01,0,N/A,HR other line,,,Massachusetts,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,Staples,E-202502-OT-079,0.14,0.13,0.01,True,1.067,0,N/A,HR other line,,,California,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,LegalCo,E-202502-OT-010,0.12,0.12,0.0,True,1.024,0,N/A,HR other line,,,Massachusetts,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,OfficeDepot,E-202502-OT-035,0.09,0.08,0.01,True,1.063,0,N/A,HR other line,,,Texas,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,Staples,E-202502-OT-061,0.05,0.05,0.0,True,1.033,0,N/A,HR other line,,,Missouri,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,FedEx,E-202502-OT-078,0.05,0.05,0.0,True,1.055,0,N/A,HR other line,,,Illinois,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,other,Other,LegalCo,E-202502-OT-058,0.01,0.01,0.0,True,1.012,0,N/A,HR other line,,,Alabama,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,payroll,Payroll,Gusto,E-202502-PA-058,169.78,159.48,10.3,True,1.065,0,Recruiter,HR payroll line,,,California,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,payroll,Payroll,Gusto,E-202502-PA-049,146.71,137.2,9.51,True,1.069,0,HRBP,HR payroll line,,,Florida,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,payroll,Payroll,Rippling,E-202502-PA-002,100.19,95.17,5.02,True,1.053,0,HRBP,HR payroll line,,,Michigan,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,payroll,Payroll,Rippling,E-202502-PA-059,69.32,64.38,4.94,True,1.077,0,HRBP,HR payroll line,,,Ohio,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,payroll,Payroll,Rippling,E-202502-PA-017,61.02,58.74,2.28,True,1.039,0,People Ops,HR payroll line,5.0,0-30,New York,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,payroll,Payroll,Gusto,E-202502-PA-007,57.6,52.53,5.07,True,1.096,0,HRBP,HR payroll line,,,New York,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,payroll,Payroll,Workday,E-202502-PA-057,55.01,53.5,1.51,True,1.028,0,HRBP,HR payroll line,,,Florida,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,payroll,Payroll,Workday,E-202502-PA-060,53.33,49.98,3.35,True,1.067,0,HRBP,HR payroll line,,,Texas,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,payroll,Payroll,Workday,E-202502-PA-066,48.66,44.57,4.09,True,1.092,0,HRBP,HR payroll line,,,Michigan,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,payroll,Payroll,Rippling,E-202502-PA-056,47.61,46.99,0.62,True,1.013,0,People Ops,HR payroll line,20.0,0-30,Connecticut,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,payroll,Payroll,Workday,E-202502-PA-036,46.8,43.82,2.98,True,1.068,0,Recruiter,HR payroll line,,,California,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,payroll,Payroll,Gusto,E-202502-PA-001,44.87,42.5,2.37,True,1.056,0,HRBP,HR payroll line,,,Texas,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,payroll,Payroll,Workday,E-202502-PA-048,44.75,43.92,0.83,True,1.019,0,HRBP,HR payroll line,,,New York,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,payroll,Payroll,Rippling,E-202502-PA-035,43.22,41.31,1.91,True,1.046,0,HRBP,HR payroll line,20.0,0-30,North Dakota,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,payroll,Payroll,Workday,E-202502-PA-009,43.18,42.75,0.43,True,1.01,0,HRBP,HR payroll line,,,Kansas,3000.0,-1898141.3078
2025-02-01,HR,expense,N/A,payroll,Payroll,Gusto,E-202502-PA-040,42.06,39.66,2.4,True,1.061,0,People Ops,HR payroll line,13.0,0-30,Wisconsin,3000.0,-1898141.3078
