month,department,line_type,product_line,category,subcategory,counterparty,invoice_id,amount,budget,variance,is_over_budget,spend_to_budget_ratio,headcount,role,notes,days_past_due,aging_bucket,state,dept_total_opex,company_ebitda
2025-04-01,IT,expense,N/A,other,Other,OfficeDepot,E-202504-OT-029,438.48,423.98,14.5,True,1.034,6,N/A,IT other line,7.0,0-30,New York,89113.37,-2042146.9568
2025-04-01,IT,expense,N/A,other,Other,WeWork,E-202504-OT-020,428.87,415.86,13.01,True,1.031,6,N/A,IT other line,,,New Jersey,89113.37,-2042146.9568
2025-04-01,IT,expense,N/A,other,Other,FedEx,E-202504-OT-006,419.43,405.3,14.13,True,1.035,6,N/A,IT other line,,,Maryland,89113.37,-2042146.9568
2025-04-01,IT,expense,N/A,other,Other,UPS,E-202504-OT-039,399.53,361.12,38.41,True,1.106,6,N/A,IT other line,,,California,89113.37,-2042146.9568
2025-04-01,IT,expense,N/A,other,Other,FedEx,E-202504-OT-036,399.28,380.56,18.72,True,1.049,6,N/A,IT other line,,,Texas,89113.37,-2042146.9568
2025-04-01,IT,expense,N/A,other,Other,Staples,E-202504-OT-055,327.93,312.67,15.26,True,1.049,6,N/A,IT other line,,,Michigan,89113.37,-2042146.9568
2025-04-01,IT,expense,N/A,other,Other,Staples,E-202504-OT-085,318.09,303.3,14.79,True,1.049,6,N/A,IT other line,,,Massachusetts,89113.37,-2042146.9568
2025-04-01,IT,expense,N/A,other,Other,LegalCo,E-202504-OT-022,302.26,290.12,12.14,True,1.042,6,N/A,IT other line,,,Ohio,89113.37,-2042146.9568
2025-04-01,IT,expense,N/A,other,Other,OfficeDepot,E-202504-OT-071,285.72,260.45,25.27,True,1.097,6,N/A,IT other line,,,New York,89113.37,-2042146.9568
2025-04-01,IT,expense,N/A,other,Other,WeWork,E-202504-OT-038,281.69,278.9,2.79,True,1.01,6,N/A,IT other line,19.0,0-30,Utah,89113.37,-2042146.9568
2025-04-01,IT,expense,N/A,other,Other,LegalCo,E-202504-OT-046,280.95,263.53,17.42,True,1.066,6,N/A,IT other line,,,California,89113.37,-2042146.9568
2025-04-01,IT,expense,N/A,other,Other,UPS,E-202504-OT-105,271.34,259.78,11.56,True,1.045,6,N/A,IT other line,,,New Jersey,89113.37,-2042146.9568
2025-04-01,IT,expense,N/A,other,Other,OfficeDepot,E-202504-OT-065,267.06,249.44,17.62,True,1.071,6,N/A,IT other line,,,California,89113.37,-2042146.9568
