month,department,line_type,product_line,category,subcategory,counterparty,invoice_id,amount,budget,variance,is_over_budget,spend_to_budget_ratio,headcount,role,notes,days_past_due,aging_bucket,state,dept_total_opex,company_ebitda
2025-05-01,Marketing,expense,N/A,other,Other,OfficeDepot,E-202505-OT-071,1401.36,1315.08,86.28,True,1.066,11,N/A,Marketing other line,,,California,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,WeWork,E-202505-OT-062,1100.76,1024.6,76.16,True,1.074,11,N/A,Marketing other line,,,California,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,WeWork,E-202505-OT-080,960.31,916.91,43.4,True,1.047,11,N/A,Marketing other line,30.0,0-30,Utah,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,WeWork,E-202505-OT-008,919.16,865.33,53.83,True,1.062,11,N/A,Marketing other line,,,Rhode Island,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,Staples,E-202505-OT-013,902.59,856.35,46.24,True,1.054,11,N/A,Marketing other line,,,Wyoming,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,FedEx,E-202505-OT-078,852.67,800.57,52.1,True,1.065,11,N/A,Marketing other line,,,Michigan,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,WeWork,E-202505-OT-032,838.48,830.18,8.3,True,1.01,11,N/A,Marketing other line,,,California,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,Staples,E-202505-OT-025,807.44,779.21,28.23,True,1.036,11,N/A,Marketing other line,6.0,0-30,Texas,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,FedEx,E-202505-OT-048,710.21,647.81,62.4,True,1.096,11,N/A,Marketing other line,,,California,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,OfficeDepot,E-202505-OT-017,697.99,672.3,25.69,True,1.038,11,N/A,Marketing other line,26.0,0-30,Nevada,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,UPS,E-202505-OT-033,659.0,652.24,6.76,True,1.01,11,N/A,Marketing other line,,,Ohio,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,OfficeDepot,E-202505-OT-041,615.53,590.67,24.86,True,1.042,11,N/A,Marketing other line,,,Alabama,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,Staples,E-202505-OT-055,501.3,491.71,9.59,True,1.02,11,N/A,Marketing other line,28.0,0-30,Wyoming,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,Staples,E-202505-OT-067,491.43,476.2,15.23,True,1.032,11,N/A,Marketing other line,,,Texas,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,OfficeDepot,E-202505-OT-065,470.94,455.11,15.83,True,1.035,11,N/A,Marketing other line,,,Rhode Island,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,Staples,E-202505-OT-037,467.45,462.82,4.63,True,1.01,11,N/A,Marketing other line,,,Oregon,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,UPS,E-202505-OT-015,447.49,426.73,20.76,True,1.049,11,N/A,Marketing other line,,,New York,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,Staples,E-202505-OT-031,438.62,417.13,21.49,True,1.052,11,N/A,Marketing other line,,,Massachusetts,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,FedEx,E-202505-OT-012,429.81,400.2,29.61,True,1.074,11,N/A,Marketing other line,,,New York,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,UPS,E-202505-OT-069,427.6,387.48,40.12,True,1.104,11,N/A,Marketing other line,12.0,0-30,Wisconsin,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,Staples,E-202505-OT-001,416.19,385.26,30.93,True,1.08,11,N/A,Marketing other line,36.0,31-60,Minnesota,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,UPS,E-202505-OT-063,415.41,386.72,28.69,True,1.074,11,N/A,Marketing other line,20.0,0-30,Florida,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,OfficeDepot,E-202505-OT-029,408.76,378.19,30.57,True,1.081,11,N/A,Marketing other line,,,California,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,WeWork,E-202505-OT-002,385.22,353.41,31.81,True,1.09,11,N/A,Marketing other line,,,New Mexico,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,WeWork,E-202505-OT-056,374.32,348.67,25.65,True,1.074,11,N/A,Marketing other line,10.0,0-30,Texas,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,WeWork,E-202505-OT-068,334.53,310.56,23.97,True,1.077,11,N/A,Marketing other line,,,Massachusetts,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,LegalCo,E-202505-OT-058,303.19,300.19,3.0,True,1.01,11,N/A,Marketing other line,0.0,0-30,South Carolina,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,UPS,E-202505-OT-081,282.34,279.51,2.83,True,1.01,11,N/A,Marketing other line,,,Minnesota,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,UPS,E-202505-OT-051,281.54,269.54,12.0,True,1.045,11,N/A,Marketing other line,,,California,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,WeWork,E-202505-OT-038,277.62,270.93,6.69,True,1.025,11,N/A,Marketing other line,,,Michigan,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,LegalCo,E-202505-OT-010,259.92,242.5,17.42,True,1.072,11,N/A,Marketing other line,,,Colorado,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,OfficeDepot,E-202505-OT-023,257.67,248.54,9.13,True,1.037,11,N/A,Marketing other line,,,Arizona,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,LegalCo,E-202505-OT-004,250.5,248.02,2.48,True,1.01,11,N/A,Marketing other line,,,New Jersey,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,OfficeDepot,E-202505-OT-011,246.92,238.11,8.81,True,1.037,11,N/A,Marketing other line,,,Michigan,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,WeWork,E-202505-OT-020,246.58,232.82,13.76,True,1.059,11,N/A,Marketing other line,24.0,0-30,New Jersey,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,WeWork,E-202505-OT-026,242.86,231.33,11.53,True,1.05,11,N/A,Marketing other line,,,New Jersey,157370.06,-2067547.3065999998
2025-05-01,Marketing,expense,N/A,other,Other,FedEx,E-202505-OT-066,237.77,219.26,18.51,True,1.084,11,N/A,Marketing other line,,,New York,157370.06,-2067547.3065999998
