month,department,line_type,product_line,category,subcategory,counterparty,invoice_id,amount,budget,variance,is_over_budget,spend_to_budget_ratio,headcount,role,notes,days_past_due,aging_bucket,state,dept_total_opex,company_ebitda
2025-06-01,Product,expense,N/A,other,Other,OfficeDepot,E-202506-OT-071,1172.34,1119.41,52.93,True,1.047,7,N/A,Product other line,,,Colorado,131651.36,-2174313.9650000003
2025-06-01,Product,expense,N/A,other,Other,WeWork,E-202506-OT-062,920.87,856.07,64.8,True,1.076,7,N/A,Product other line,,,Oregon,131651.36,-2174313.9650000003
2025-06-01,Product,expense,N/A,other,Other,WeWork,E-202506-OT-080,803.37,770.08,33.29,True,1.043,7,N/A,Product other line,34.0,31-60,Massachusetts,131651.36,-2174313.9650000003
2025-06-01,Product,expense,N/A,other,Other,WeWork,E-202506-OT-008,768.95,726.44,42.51,True,1.059,7,N/A,Product other line,,,Utah,131651.36,-2174313.9650000003
2025-06-01,Product,expense,N/A,other,Other,Staples,E-202506-OT-013,755.08,733.1,21.98,True,1.03,7,N/A,Product other line,0.0,0-30,Minnesota,131651.36,-2174313.9650000003
2025-06-01,Product,expense,N/A,other,Other,FedEx,E-202506-OT-078,713.32,655.85,57.47,True,1.088,7,N/A,Product other line,,,New York,131651.36,-2174313.9650000003
2025-06-01,Product,expense,N/A,other,Other,WeWork,E-202506-OT-032,701.45,666.78,34.67,True,1.052,7,N/A,Product other line,,,New Jersey,131651.36,-2174313.9650000003
2025-06-01,Product,expense,N/A,other,Other,Staples,E-202506-OT-025,675.48,650.43,25.05,True,1.039,7,N/A,Product other line,,,Wyoming,131651.36,-2174313.9650000003
2025-06-01,Product,expense,N/A,other,Other,FedEx,E-202506-OT-048,594.14,568.6,25.54,True,1.045,7,N/A,Product other line,,,Tennessee,131651.36,-2174313.9650000003
2025-06-01,Product,expense,N/A,other,Other,OfficeDepot,E-202506-OT-017,583.92,546.58,37.34,True,1.068,7,N/A,Product other line,31.0,31-60,Ohio,131651.36,-2174313.9650000003
2025-06-01,Product,expense,N/A,other,Other,UPS,E-202506-OT-033,551.3,545.84,5.46,True,1.01,7,N/A,Product other line,3.0,0-30,Utah,131651.36,-2174313.9650000003
2025-06-01,Product,expense,N/A,other,Other,OfficeDepot,E-202506-OT-041,514.93,493.86,21.07,True,1.043,7,N/A,Product other line,,,California,131651.36,-2174313.9650000003
2025-06-01,Product,expense,N/A,other,Other,Staples,E-202506-OT-055,419.37,415.22,4.15,True,1.01,7,N/A,Product other line,52.0,31-60,Minnesota,131651.36,-2174313.9650000003
