month,department,line_type,product_line,category,subcategory,counterparty,invoice_id,amount,budget,variance,is_over_budget,spend_to_budget_ratio,headcount,role,notes,days_past_due,aging_bucket,state,dept_total_opex,company_ebitda
2025-07-01,Sales,expense,N/A,other,Other,OfficeDepot,E-202507-OT-071,523.53,502.19,21.34,True,1.043,6,N/A,Sales other line,,,Montana,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,WeWork,E-202507-OT-062,411.23,394.63,16.6,True,1.042,6,N/A,Sales other line,29.0,0-30,California,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,WeWork,E-202507-OT-080,358.76,337.52,21.24,True,1.063,6,N/A,Sales other line,,,Alabama,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,WeWork,E-202507-OT-008,343.39,336.17,7.22,True,1.021,6,N/A,Sales other line,,,Maryland,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,Staples,E-202507-OT-013,337.2,333.86,3.34,True,1.01,6,N/A,Sales other line,35.0,31-60,Ohio,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,FedEx,E-202507-OT-078,318.55,307.21,11.34,True,1.037,6,N/A,Sales other line,,,California,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,WeWork,E-202507-OT-032,313.25,297.19,16.06,True,1.054,6,N/A,Sales other line,24.0,0-30,Virginia,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,Staples,E-202507-OT-025,301.65,298.66,2.99,True,1.01,6,N/A,Sales other line,8.0,0-30,New York,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,FedEx,E-202507-OT-048,265.32,257.21,8.11,True,1.032,6,N/A,Sales other line,,,Massachusetts,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,OfficeDepot,E-202507-OT-017,260.76,244.22,16.54,True,1.068,6,N/A,Sales other line,17.0,0-30,Oregon,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,UPS,E-202507-OT-033,246.19,236.01,10.18,True,1.043,6,N/A,Sales other line,,,New York,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,OfficeDepot,E-202507-OT-041,229.95,225.76,4.19,True,1.019,6,N/A,Sales other line,6.0,0-30,Illinois,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,Staples,E-202507-OT-055,187.28,173.72,13.56,True,1.078,6,N/A,Sales other line,,,Idaho,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,Staples,E-202507-OT-067,183.59,169.1,14.49,True,1.086,6,N/A,Sales other line,,,New York,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,OfficeDepot,E-202507-OT-065,175.94,162.41,13.53,True,1.083,6,N/A,Sales other line,,,Washington,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,Staples,E-202507-OT-037,174.63,169.35,5.28,True,1.031,6,N/A,Sales other line,,,Missouri,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,UPS,E-202507-OT-015,167.18,161.53,5.65,True,1.035,6,N/A,Sales other line,10.0,0-30,New Jersey,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,Staples,E-202507-OT-031,163.86,154.2,9.66,True,1.063,6,N/A,Sales other line,9.0,0-30,California,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,FedEx,E-202507-OT-012,160.57,155.62,4.95,True,1.032,6,N/A,Sales other line,,,California,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,UPS,E-202507-OT-069,159.75,154.66,5.09,True,1.033,6,N/A,Sales other line,24.0,0-30,Minnesota,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,Staples,E-202507-OT-001,155.48,153.1,2.38,True,1.016,6,N/A,Sales other line,,,Utah,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,UPS,E-202507-OT-063,155.19,153.65,1.54,True,1.01,6,N/A,Sales other line,38.0,31-60,North Carolina,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,OfficeDepot,E-202507-OT-029,152.71,149.99,2.72,True,1.018,6,N/A,Sales other line,,,Texas,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,WeWork,E-202507-OT-002,143.91,132.68,11.23,True,1.085,6,N/A,Sales other line,,,California,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,WeWork,E-202507-OT-056,139.84,134.43,5.41,True,1.04,6,N/A,Sales other line,21.0,0-30,Texas,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,WeWork,E-202507-OT-068,124.98,119.06,5.92,True,1.05,6,N/A,Sales other line,,,New Jersey,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,LegalCo,E-202507-OT-058,113.27,105.67,7.6,True,1.072,6,N/A,Sales other line,,,Michigan,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,UPS,E-202507-OT-081,105.48,102.23,3.25,True,1.032,6,N/A,Sales other line,35.0,31-60,Virginia,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,UPS,E-202507-OT-051,105.18,97.63,7.55,True,1.077,6,N/A,Sales other line,,,California,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,WeWork,E-202507-OT-038,103.72,94.74,8.98,True,1.095,6,N/A,Sales other line,,,South Carolina,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,LegalCo,E-202507-OT-010,97.1,90.81,6.29,True,1.069,6,N/A,Sales other line,,,California,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,OfficeDepot,E-202507-OT-023,96.26,91.24,5.02,True,1.055,6,N/A,Sales other line,9.0,0-30,Minnesota,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,LegalCo,E-202507-OT-004,93.58,89.93,3.65,True,1.041,6,N/A,Sales other line,,,New Mexico,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,OfficeDepot,E-202507-OT-011,92.25,86.13,6.12,True,1.071,6,N/A,Sales other line,,,Massachusetts,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,WeWork,E-202507-OT-020,92.12,89.02,3.1,True,1.035,6,N/A,Sales other line,,,Washington,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,WeWork,E-202507-OT-026,90.73,86.75,3.98,True,1.046,6,N/A,Sales other line,,,California,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,FedEx,E-202507-OT-066,88.83,85.24,3.59,True,1.042,6,N/A,Sales other line,14.0,0-30,Michigan,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,LegalCo,E-202507-OT-028,88.15,83.82,4.33,True,1.052,6,N/A,Sales other line,0.0,0-30,California,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,LegalCo,E-202507-OT-034,80.3,79.46,0.84,True,1.011,6,N/A,Sales other line,1.0,0-30,New York,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,UPS,E-202507-OT-027,79.0,72.75,6.25,True,1.086,6,N/A,Sales other line,34.0,31-60,California,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,Staples,E-202507-OT-043,72.95,71.84,1.11,True,1.016,6,N/A,Sales other line,,,Florida,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,Staples,E-202507-OT-049,70.24,64.87,5.37,True,1.083,6,N/A,Sales other line,,,Wisconsin,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,UPS,E-202507-OT-009,65.51,64.08,1.43,True,1.022,6,N/A,Sales other line,25.0,0-30,California,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,LegalCo,E-202507-OT-076,62.59,58.45,4.14,True,1.071,6,N/A,Sales other line,,,Texas,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,Staples,E-202507-OT-079,61.83,59.95,1.88,True,1.031,6,N/A,Sales other line,,,Arizona,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,WeWork,E-202507-OT-050,61.61,58.75,2.86,True,1.049,6,N/A,Sales other line,38.0,31-60,Virginia,88187.32,-2107908.1479999996
2025-07-01,Sales,expense,N/A,other,Other,UPS,E-202507-OT-057,61.52,57.48,4.04,True,1.07,6,N/A,Sales other line,,,Utah,88187.32,-2107908.1479999996
