item_id,product_line,category,subcategory,line_type,base_price
I0001,Subscriptions,software_services,Subscriptions,expense,2389.68
I0002,Standard,people,Payroll,expense,1489.98
I0003,Subscriptions,software_services,Subscriptions,expense,2618.21
I0004,Standard,people,Payroll,expense,1955.26
I0005,Standard,operations,Other,expense,36.95
I0006,Standard,software_services,Software,expense,391.47
I0007,Subscriptions,software_services,Subscriptions,expense,2355.08
I0008,Standard,revenue,AddOnRevenue,revenue,2400.98
I0009,Standard,people,Payroll,expense,930.6
I0010,Subscriptions,software_services,Subscriptions,expense,1516.04
I0011,Subscriptions,software_services,Subscriptions,expense,1301.15
I0012,Subscriptions,software_services,Subscriptions,expense,2802.27
I0013,Standard,people,Payroll,expense,1858.96
I0014,Standard,operations,Other,expense,168.1
I0015,Standard,software_services,Software,expense,205.19
I0016,Subscriptions,software_services,Subscriptions,expense,913.54
I0017,Standard,software_services,Software,expense,244.1
I0018,Standard,revenue,AddOnRevenue,revenue,378.69
I0019,Standard,people,Payroll,expense,2189.74
I0020,Standard,revenue,AddOnRevenue,revenue,1968.66
I0021,Standard,operations,Other,expense,156.46
I0022,Subscriptions,software_services,Subscriptions,expense,1257.22
I0023,Standard,operations,Travel,expense,778.02
I0024,Standard,operations,Travel,expense,719.84
I0025,Standard,people,Payroll,expense,2101.09
I0026,Subscriptions,software_services,Subscriptions,expense,825.52
I0027,Standard,operations,Travel,expense,400.04
I0028,Subscriptions,software_services,Subscriptions,expense,418.27
I0029,Standard,software_services,Software,expense,104.0
I0030,Standard,software_services,Software,expense,289.07
I0031,Standard,revenue,AddOnRevenue,revenue,2285.33
I0032,Standard,operations,Other,expense,194.15
I0033,Subscriptions,software_services,Subscriptions,expense,1179.73
I0034,Standard,people,Payroll,expense,1366.83
I0035,Subscriptions,software_services,Subscriptions,expense,1567.8
I0036,Standard,revenue,AddOnRevenue,revenue,730.52
I0037,Standard,operations,Other,expense,43.39
I0038,Standard,software_services,Software,expense,216.5
I0039,Standard,operations,Travel,expense,220.18
I0040,Standard,people,Payroll,expense,1905.67
I0041,Subscriptions,software_services,Subscriptions,expense,1480.31
I0042,Standard,operations,Travel,expense,674.51
I0043,Standard,people,Payroll,expense,1960.48
I0044,Standard,operations,Other,expense,76.23
I0045,Standard,people,Payroll,expense,2198.07
I0046,Subscriptions,software_services,Subscriptions,expense,2472.86
I0047,Standard,software_services,Software,expense,185.62
I0048,Subscriptions,software_services,Subscriptions,expense,1078.49
I0049,Standard,revenue,AddOnRevenue,revenue,2110.99
I0050,Standard,operations,Other,expense,45.16
